0, 0, 32276, 63991, -1, -1, -1, -1
1, 0.923953, 12643, 24403, -1, -1, -1, -1
2, 0.0548, 13815, 80160, -1, -1, -1, -1
3, 1.16929, 27506, 150446, 2.482e+07, 1554.16, 0, -1
7, 1.30681, 10734, 61794, 10915.2, 13.8895, -1, -1
6, 0.06083, 23655, 133298, 10915.2, 11.3752, -1, -1
7, 0.695028, 13066, 74353, 10915.2, 10.9316, -1, -1
8, 0.372804, 13066, 68630, 9682.27, 8.58671, -1, -1
9, 0.065736, 13066, 68630, 9682.27, 7.30324, -1, -1
6, 0.031356, 17821, 91835, 9682.27, 6.53977, -1, -1
7, 0.567901, 13302, 70157, 2837.46, 6.52913, -1, -1
8, 0.250311, 13302, 68831, 1312.75, 6.06983, -1, -1
9, 0.061702, 13302, 68831, 1312.75, 5.7834, -1, -1
6, 0.028377, 16921, 85777, 1312.75, 5.47696, -1, -1
7, 0.455718, 13395, 69482, 1312.75, 5.68501, -1, -1
8, 0.181915, 13395, 69022, 1312.75, 5.56489, -1, -1
9, 0.058721, 13395, 69022, 1312.75, 5.45202, -1, -1
6, 0.042016, 21985, 113218, 1312.75, 5.03909, -1, -1
7, 0.579155, 15450, 81537, 1312.75, 5.12697, -1, -1
8, 0.302608, 15450, 81262, 1312.75, 4.91812, -1, -1
9, 0.0685, 15450, 81262, 1312.75, 4.74436, -1, -1
6, 0.031889, 19197, 98629, 1312.75, 4.64664, -1, -1
7, 0.433471, 15385, 81138, 1312.75, 4.72602, -1, -1
8, 0.205898, 15385, 81015, 1312.75, 4.65859, -1, -1
9, 0.065487, 15385, 81015, 1312.75, 4.56962, -1, -1
6, 0.036055, 20586, 106545, 1312.75, 4.57725, -1, -1
7, 0.455264, 16113, 85774, 1312.75, 4.51303, -1, -1
8, 0.236282, 16113, 85605, 1312.75, 4.42239, -1, -1
9, 0.067568, 16113, 85605, 1312.75, 4.32691, -1, -1
6, 0.031105, 18922, 98010, 1312.75, 4.32304, -1, -1
7, 0.373958, 16067, 85516, 98.7729, 4.31065, -1, -1
8, 0.187547, 16067, 85424, 98.7729, 4.28224, -1, -1
9, 0.064668, 16067, 85424, 98.7729, 4.23677, -1, -1
6, 0.030857, 18484, 95803, 98.7729, 4.23858, -1, -1
7, 0.351696, 16078, 85490, 98.7729, 4.23905, -1, -1
8, 0.178865, 16078, 85480, 98.7729, 4.22474, -1, -1
9, 0.063247, 16078, 85480, 98.7729, 4.19684, -1, -1
6, 0.062807, 31371, 164445, 94.0178, 4.35987, -1, -1
7, 0.603423, 20627, 112016, 92.675, 4.14134, -1, -1
8, 0.433363, 20627, 111721, 92.675, 4.06664, -1, -1
9, 0.081274, 20627, 111721, 92.675, 3.93096, -1, -1
6, 0.044462, 26322, 138301, 92.675, 4.01711, -1, -1
7, 0.440367, 20547, 111630, 92.675, 3.94278, -1, -1
8, 0.276074, 20547, 111577, 92.675, 3.91983, -1, -1
9, 0.079225, 20547, 111577, 92.675, 3.85866, -1, -1
6, 0.05278, 30146, 160040, 86.7466, 4.07972, -1, -1
7, 0.618515, 22741, 124337, 79.2694, 3.90069, -1, -1
8, 0.365081, 22741, 124237, 79.2694, 3.87027, -1, -1
